Date,Open,High,Low,Close,Adj Close,Volume
2019-12-18,1.810000,1.830000,1.760000,1.780000,1.780000,27700
2019-12-19,1.810000,1.860000,1.750000,1.780000,1.780000,28100
2019-12-20,1.840000,1.850000,1.750000,1.750000,1.750000,43700
2019-12-23,1.800000,1.810000,1.720000,1.720000,1.720000,17700
2019-12-24,1.740000,1.740000,1.620000,1.700000,1.700000,33000
2019-12-26,1.720000,1.720000,1.650000,1.690000,1.690000,45500
2019-12-27,1.690000,1.710000,1.650000,1.650000,1.650000,23500
2019-12-30,1.660000,1.690000,1.650000,1.650000,1.650000,16500
2019-12-31,1.650000,1.680000,1.640000,1.660000,1.660000,20100
2020-01-02,1.660000,1.700000,1.660000,1.670000,1.670000,15000
2020-01-03,1.660000,1.800000,1.640000,1.690000,1.690000,27600
2020-01-06,1.650000,1.730000,1.650000,1.730000,1.730000,5800
2020-01-07,1.740000,1.800000,1.740000,1.790000,1.790000,13300
2020-01-08,1.790000,1.790000,1.730000,1.730000,1.730000,15200
2020-01-09,1.750000,1.770000,1.750000,1.770000,1.770000,4300
2020-01-10,1.760000,1.760000,1.600000,1.660000,1.660000,42600
2020-01-13,1.640000,1.730000,1.620000,1.620000,1.620000,24000
2020-01-14,1.700000,1.730000,1.650000,1.680000,1.680000,44800
2020-01-15,1.670000,1.740000,1.670000,1.690000,1.690000,9800
2020-01-16,1.730000,1.730000,1.650000,1.690000,1.690000,16800
2020-01-17,1.700000,1.700000,1.640000,1.670000,1.670000,40100
2020-01-21,1.680000,1.700000,1.670000,1.700000,1.700000,13700
2020-01-22,1.690000,1.710000,1.620000,1.620000,1.620000,47200
2020-01-23,1.630000,1.670000,1.630000,1.670000,1.670000,62900
2020-01-24,1.650000,1.660000,1.610000,1.610000,1.610000,10800
2020-01-27,1.570000,1.650000,1.570000,1.590000,1.590000,20300
2020-01-28,1.600000,1.700000,1.590000,1.650000,1.650000,72300
2020-01-29,1.620000,1.620000,1.560000,1.590000,1.590000,27600
2020-01-30,1.600000,1.610000,1.560000,1.610000,1.610000,5200
2020-01-31,1.560000,1.560000,1.470000,1.520000,1.520000,37300
2020-02-03,1.520000,1.610000,1.520000,1.600000,1.600000,40700
2020-02-04,1.650000,1.670000,1.610000,1.610000,1.610000,12900
2020-02-05,1.600000,1.620000,1.590000,1.590000,1.590000,11600
2020-02-06,1.580000,1.660000,1.550000,1.550000,1.550000,31000
2020-02-07,1.580000,1.650000,1.530000,1.550000,1.550000,20400
2020-02-10,1.580000,1.600000,1.570000,1.600000,1.600000,15800
2020-02-11,1.600000,1.640000,1.600000,1.640000,1.640000,18600
2020-02-12,1.640000,1.930000,1.640000,1.870000,1.870000,257600
